Código;Código alternativo;Nombre;Marca
82556453;2,51151E+11;LAMPARA MINERA INALAMBRICA MODELO KL 10000         (CON CARGADOR USB INCLUIDO) LUZ LED 10000 LUX;STEELPRO
75024144;904063;LAMPARA MINERA L-6A CON CARGADOR                   (CAPACIDAD 7000 mAh BATERIA LI-ION);LIBUS
75017019;;LAMPARA MINERA LED 3 WATS MOD. KL 4.5 LM;
75014120;T3;LAMPARA MINERA LED INALAMBRICA TAGLITE T3          (SIN CARGADOR Y SIN CABLE);TAGLITE
104286;TAGLITE T3                         ;LAMPARA MINERA LED INALAMBRICA TAGLITE T3 CON CARGADOR Y CABLE                                               ;TAGLITE
85744803;T7;LAMPARA MINERA LED TAGLITE T7                      (SIN CARGADOR Y SIN CABLE);TAGLITE
70007327;ECOLOGY PLUS;LAMPARA MINERO LITHIUM 12HS. AUTONOMIA;ADARO
90024097;P43T;LAMPARA NOMELUX H4 N472 12V 60/55W P43T;
90024098;PX26D;LAMPARA NOMELUX H7 N499 12V 55W PX26D;
90003862;;LAMPARA PARA PERTIGA - 6 LED;WHEEPS
75012967;2451005;LAMPARA PL-C 2P 18W/840 4000K;PHILLIPS
90024992;PN TL105-1001;LAMPARA PRUEBA, TL105, CONFIGURADA. ATO: TL105-0-2 INCLUYE CARGADOR;MSA
90024690;LDA N3F/J;LAMPARA SINCRONIZADORA C/MED  DIGITAL DE AVANCE    RPM, ANGULO DE CONTACTO Y VOLTIMETRO;TELME
32250023;T-2DCRA;LAMPARAS ANTIEXP.LINT - 90§ ,2PILAS ANTIDEFLAG.;WOLF
32250032;T-3DCRA;LAMPARAS ANTIEXP.LINT - 90§ ,3PILAS ANTIDEFLAG.;WOLF
24040081;;LAMPARAS-LDA-N/3F-LAMP.S.DIG.;TELME
70006804;;LAMPARITA PRINCIPAL.REP.  P/LINTERNA MINERO;
99992677;;LAMPAZO 200 GRAMOS CON CABO DE PINO 1.30 MTS;
99992444;;LAMPAZO ANDEN X 80 CM;
99992473;;LAMPAZO INDUSTRIAL;
98652318;;LAMPAZOS DE ALGODON Y POLIESTER DE 500 GS,C/GAN    CHO Y CABO;
90852037;0931034;LANA DE ACERO VIRULANA ROLLO X 2 KGS.;SETMETAL
90004478;;LANA DE VIDRIO ALUMINIZADA ESP 50MM ANCHO ROLLO    .1,20 X 18 METROS;
90025487;;LANA DE VIDRIO ISOVER ROLAC PLATA 80 MM ALUMINIO;ISOVER
90020748;66112;LANYARD C/MOSQUETON UV RESISTANT C/QUITAVUELTAS;EGA MASTER
90024396;AD661137;LANYARD CON CORDON UV RESISTANT C/QUITAVUELTAS ACO;EGA MASTER
45115751;;"LANZA 1.1/2"" ACOPLE STORZ CON BOQUILLA CHORRO P    LENO Y NIEBLA";TGB
75024588;BR446501;"LANZA C/BOQUILLA CHORRO PLENO/NIEBLA 2.1/2"" 63,5MM (BOQUILLA REGULABLE PALSTICA)";FIRE HOSE
75024996;723884;LANZA CALENTAMIENTO ACETILENO 90 CM;LOSARC
75025239;723881;LANZA CALENTAMIENTO GLP 60 CM;LOSARC
75025934;;LANZA CALJET CON SISTEMA HOMBRE MUERTO             VALV. DE CORTE-ACOPLAMIENTO RAPIDO-MANG;
75000597;018;"LANZA CHORRO PLENO DIAM. 38.1 MM (1.1/2"")";TGB
70008367;191;LANZA CHORRO PLENO Y NIEBLA 38.1MM (1.1/2);TGB
57241661;194;LANZA CHORRO PLENO Y NIEBLA 63.5MM (2.1/2);TGB
98564520;713;LANZA CHORRO STORZ 65 SIN BOQUILLA;TGB
70102869;BR443800;"LANZA CHORRO Y NIEBLA DIAM. 38.1MM (1.1/2"")";FIRE HOSE
90024555;ST425200;LANZA CHORRO Y NIEBLA, CONEXION STORZ 52;FIRE HOSE
90025221;ST426500;LANZA CHORRO Y NIEBLA, CONEXION STORZ 65;FIRE HOSE
80013555;101010;LANZA COMPLETA ARMADA (C/PROTECTOR);PASAC
86656523;101007;"LANZA COMPLETA ARMADA (CON PORTATOBERA), COMET;";
75025814;;LANZA COMPLETA PISTOLA  900MM;
75025588;367;"LANZA CONEXION Ø1 ½”ADAPTADOR A STORZ 1"" 1/2       PROVISTA CON LLAVE DE CORTE Y GRIP TIPO PISTOLA";PROTEK
98552040;1183;LANZA DE 600MM;ROTHENBERG
75021822;BR444500;"LANZA DE COBRE Y BRONCE CHORRO NIEBLA DIAM. 44.5MM (1.3/4"")";FIRE HOSE
90019076;BR434500;"LANZA DE COBRE Y BRONCE CHORRO PLENO DIAM. 44.5MM  (1.3/4"")";FIRE HOSE
90019075;BR436500;"LANZA DE COBRE Y BRONCE CHORRO PLENO DIAM. 63.5MM  (2.1/2"")";FIRE HOSE
75022039;ES113800;"LANZA GENERADORA DE ESPUMA 1.1/2"" SIN DOSIFICADOR";FIRE HOSE
70104721;;LANZA HIDROLAVADORA 70 CM + PISTOLA + PICO LAVADO;HIDROLIMP
75027831;L50;LANZA LAVADO L50 1200MM (CAÑO SOLO) 40 LTS         (550 BAR 1/4);TECOMEC
70015271;RHL1500P0RL;LANZA P/HL-1500P P/HL-250EX;LUSQTOFF
90022625;LR30;LANZA PARA HIDROLAVADORA ALPRE CON PICO ANG. 25º;ALPRE
57241651;0165;"LANZA PARA MANGUERA INCENDIO 44.5MM (1.3/4"")       (SIN BOQUILLA)";LACAR
90003539;0165;"LANZA PARA MANGUERA INCENDIO 44.5MM (1.3/4"")       (SIN BOQUILLA)";LACAR
